city_id,ciy_name,
1,City of Goiânia,Brazil
2,Guarco,Costa Rica
3,Alcaldía Distrital de Santa Marta,Colombia
4,Corrales,Colombia
5,City of Buenos Aires,Argentina
6,Prefeitura de Caruaru,Brazil
7,Municipality of Recife,Brazil
8,Prefeitura Municipal de Araçatuba,Brazil
9,Municipalidad de Independencia,Chile
10,Mongui,Colombia
11,Municipio de Iztapa,Guatemala
12,Busbanza,Colombia
13,Municipalidad de Miraflores,Peru
14,Coatzacoalcos,Mexico
15,Municipalidad de Machu Picchu,Peru
16,Municipalidad de La Paz,Bolivia
17,Prefeitura de Boa Ventura,Brazil
18,Santa Fé Ciudad,Argentina
19,Municipalidad de Machu Picchu,Peru
20,Alcaldía de Tegucigalpa,Honduras
21,Ayuntamiento de Morelia,Mexico
22,Prefeitura de Aracaju,Brazil
23,Alcaldía de Villavicencio,Colombia
24,Alcaldia de Montería,Colombia
25,Municipalidad de Copiapó,Chile
26,Municipality of Porto Alegre,Brazil
27,Municipality of San Antonio de Areco,Argentina
28,Concejo Municipal de Distrito de Monte Verde,Costa Rica
29,Municipio de Iztapa,Guatemala
30,Junta Intermunicipal de Medio Ambiente Altos Norte (JIAN),Mexico
31,Prefeitura de Iperó,Brazil
32,Ayuntamiento de Puerto Vallarta,Mexico
33,Alcaldia de Pereira,Colombia
34,Municipio de Bucaramanga,Colombia
35,City of Salvador,Brazil
36,Prefeitura de Cordeirópolis,Brazil
37,Prefeitura de Brumadinho,Brazil
38,Ramona,Argentina
39,Municipio de Chitré,Panama
40,Beteitiva,Colombia
41,Prefeitura Municipal de Canoas,Brazil
42,Municipio de Torreón,Mexico
43,Municipalidad de Belén,Costa Rica
44,Bogotá Distrito Capital,Colombia
45,Municipalidad de Desamparados,Costa Rica
46,Municipio de San Pedro de Urabá,Colombia
47,City of Monterrey,Mexico
48,Aipromades Lago de Chapala,Mexico
49,Prefeitura Municipal de Sertãozinho,Brazil
50,Prefeitura de Pilões,Brazil
51,Ayuntamiento de Celaya,Mexico
52,Metropolitan Municipality of Lima,Peru
53,City of Buenos Aires,Argentina
54,Gobierno Municipal de Toluca de Lerdo,Mexico
55,Alcaldía de Sincelejo,Colombia
56,Municipalidad de Peñalolén,Chile
57,Municipality of Recife,Brazil
58,General Pueyrredon,Argentina
59,Intendencia de Montevideo,Uruguay
60,Prefeitura Municipal de Boa Vista,Brazil
61,Municipalidad de La Paz,Bolivia (Plurinational State of)
62,Prefeitura de Curvelo,Brazil
63,Municipality of Medellín,Colombia
64,Prefeitura de Alexânia,Brazil
65,Prefeitura de São Paulo,Brazil
66,Prefeitura de Betim,Brazil
67,Gobierno Municipal de León de los Aldamas,Mexico
68,Municipalidad de Belén,Costa Rica
69,Alcaldia de Manizales,Colombia
70,Goicoechea,Costa Rica
71,Junta Intermunicipal de la Región Norte del Estado de Jalisco (JINOR),Mexico
72,Municipalidad de Concepción,Chile
73,Alcaldia de Manizales,Colombia
74,Municipality of Santa Catarina,Mexico
75,Valle de Santiago,Mexico
76,Valle de Santiago,Mexico
77,Renca,Chile
78,Itagüí,Colombia
79,Municipio La Chorrera,Panama
80,Alcaldia de Rionegro,Colombia
81,Ciudad de Juárez,Mexico
82,Mongui,Colombia
83,Guarco,Costa Rica
84,Alcaldia de Manizales,Colombia
85,Ayuntamiento de Culiacán,Mexico
86,Municipality of Rauch,Argentina
87,Rio das Flores,Brazil
88,Region Metropolitana de Guadalajara,Mexico
89,Camilo Aldao,Argentina
90,Prefeitura de Rolândia,Brazil
91,Metropolitan Municipality of Lima,Peru
92,Municipality of Ambato,Ecuador
93,Prefeitura de Pilões,Brazil
94,Ayuntamiento de Morelia,Mexico
95,Arteaga,Argentina
96,Municipalidad de la Ciudad de Neuquén,Argentina
97,Ciudad de Juárez,Mexico
98,Junta Intermunicipal de Medio Ambiente del Ayuquila Alto,Mexico
99,Municipalidad de Avellaneda,Argentina
100,Ayuntamiento de San Luis Potosí,Mexico
101,Prefeitura de Brumadinho,Brazil
102,Girardota,Colombia
103,Distrito Metropolitano de Quito,Ecuador
104,Ayuntamiento de San Luis Potosí,Mexico
105,Aipromades Lago de Chapala,Mexico
106,Prefeitura de Campo Grande,Brazil
107,Municipio de Colima,Mexico
108,Municipalidad de La Unión,Costa Rica
